Map,Player,Team,Agent,Overall VLR Rating,Overall ACS,Overall Kills,Overall Deaths,Overall Assists,Overall +/-,Overall KAST,Overall ADR,Overall HS%,Overall First Kills,Overall First Deaths,Overall First Blood +/-,Attack VLR Rating,Attack ACS,Attack Kills,Attack Deaths,Attack Assists,Attack +/-,Attack KAST,Attack ADR,Attack HS%,Attack First Kills,Attack First Deaths,Attack First Blood +/-,Defense VLR Rating,Defense ACS,Defense Kills,Defense Deaths,Defense Assists,Defense +/-,Defense KAST,Defense ADR,Defense HS%,Defense First Kills,Defense First Deaths,Defense First Blood +/-,Map Result,Rounds Won,Rounds Lost,Total Rounds,Attack Rounds Won,Attack Rounds Lost,Total Attack Rounds,Defense Rounds Won,Defense Rounds Lost,Total Defense Rounds,Attack Half Rounds Won,Attack Half Rounds Lost,Total Attack Half Rounds,Defense Half Rounds Won,Defense Half Rounds Lost,Total Defense Half Rounds,Overtime Attack Rounds Won,Overtime Attack Rounds Lost,Total Overtime Attack Rounds,Overtime Defense Rounds Won,Overtime Defense Rounds Lost,Total Overtime Defense Rounds,Overtime Rounds Won,Overtime Rounds Lost,Total Overtime Rounds
Corrode,Ethan,NRG,kayo,0.94,129,8,11,12,-3,86%,77,16%,2,0,2,0.96,157,6,7,6,-1,75%,85,20%,1,0,1,0.91,96,2,4,6,-2,100%,67,11%,1,0,1,Win,13,9,22,7,5,12,6,4,10,7,5,12,6,4,10,0,0,0,0,0,0,0,0,0
Corrode,cauanzin,LOUD,vyse,1.33,221,19,11,3,8,68%,152,33%,2,1,1,1.24,232,9,6,2,3,50%,132,29%,0,1,-1,1.4,212,10,5,1,5,83%,169,36%,2,0,2,Loss,9,13,22,4,6,10,5,7,12,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0
Corrode,Virtyy,LOUD,neon,0.81,208,15,18,5,-3,59%,118,27%,5,5,0,0.5,146,4,9,3,-5,50%,82,9%,3,3,0,1.07,260,11,9,2,2,67%,148,43%,2,2,0,Loss,9,13,22,4,6,10,5,7,12,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0
Corrode,lukxo,LOUD,viper,0.65,149,10,17,4,-7,45%,104,30%,1,4,-3,0.96,201,7,7,1,0,50%,138,36%,0,2,-2,0.39,107,3,10,3,-7,42%,75,22%,1,2,-1,Loss,9,13,22,4,6,10,5,7,12,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0
Corrode,pANcada,LOUD,omen,0.58,122,9,19,6,-10,50%,84,30%,1,0,1,0.33,75,2,10,3,-8,40%,54,33%,0,0,0,0.79,163,7,9,3,-2,58%,110,29%,1,0,1,Loss,9,13,22,4,6,10,5,7,12,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0
Corrode,RobbieBk,LOUD,fade,0.58,97,8,15,1,-7,45%,59,35%,1,2,-1,0.2,61,2,8,0,-6,30%,41,40%,0,1,-1,0.9,128,6,7,1,-1,58%,74,33%,1,1,0,Loss,9,13,22,4,6,10,5,7,12,4,6,10,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,OXY,C9,neon,1.4,324,22,15,9,7,95%,229,28%,4,2,2,1.29,297,12,9,6,3,92%,211,36%,0,2,-2,1.58,368,10,6,3,4,100%,257,21%,4,0,4,Win,13,7,20,8,4,12,5,3,8,8,4,12,5,3,8,0,0,0,0,0,0,0,0,0
Lotus,mitch,C9,fade,1.39,244,16,12,12,4,90%,158,22%,3,2,1,0.92,187,8,9,6,-1,83%,127,23%,2,2,0,2.1,329,8,3,6,5,100%,205,21%,1,0,1,Win,13,7,20,8,4,12,5,3,8,8,4,12,5,3,8,0,0,0,0,0,0,0,0,0
Lotus,v1c,C9,omen,1.36,216,18,11,11,7,85%,146,30%,0,0,0,1.31,241,12,8,7,4,75%,154,31%,0,0,0,1.42,180,6,3,4,3,100%,135,29%,0,0,0,Win,13,7,20,8,4,12,5,3,8,8,4,12,5,3,8,0,0,0,0,0,0,0,0,0
Lotus,neT,C9,viper,1.24,201,15,10,7,5,75%,124,43%,3,1,2,1.39,245,10,6,6,4,67%,152,47%,2,1,1,1.01,136,5,4,1,1,88%,82,36%,1,0,1,Win,13,7,20,8,4,12,5,3,8,8,4,12,5,3,8,0,0,0,0,0,0,0,0,0
Lotus,Xeppaa,C9,vyse,1.22,197,15,12,9,3,95%,142,33%,2,3,-1,1.23,207,9,8,6,1,92%,160,38%,0,3,-3,1.19,183,6,4,3,2,100%,114,25%,2,0,2,Win,13,7,20,8,4,12,5,3,8,8,4,12,5,3,8,0,0,0,0,0,0,0,0,0
Lotus,Derrek,EG,tejo,0.83,168,10,15,7,-5,60%,127,25%,0,0,0,1.03,226,4,6,5,-2,63%,173,22%,0,0,0,0.69,129,6,9,2,-3,58%,96,29%,0,0,0,Loss,7,13,20,3,5,8,4,8,12,3,5,8,4,8,12,0,0,0,0,0,0,0,0,0
Lotus,yay,EG,clove,0.76,203,16,18,2,-2,55%,134,35%,1,1,0,0.92,202,6,7,1,-1,38%,142,55%,0,1,-1,0.65,205,10,11,1,-1,67%,129,25%,1,0,1,Loss,7,13,20,3,5,8,4,8,12,3,5,8,4,8,12,0,0,0,0,0,0,0,0,0
Lotus,icy,EG,raze,0.73,180,13,17,4,-4,60%,106,22%,2,6,-4,0.19,91,3,7,2,-4,50%,56,17%,0,6,-6,1.09,240,10,10,2,0,67%,139,26%,2,0,2,Loss,7,13,20,3,5,8,4,8,12,3,5,8,4,8,12,0,0,0,0,0,0,0,0,0
Lotus,supamen,EG,viper,0.7,184,12,18,1,-6,55%,133,31%,4,2,2,0.27,140,4,8,0,-4,38%,92,38%,0,1,-1,0.98,214,8,10,1,-2,67%,160,28%,4,1,3,Loss,7,13,20,3,5,8,4,8,12,3,5,8,4,8,12,0,0,0,0,0,0,0,0,0
Lotus,NaturE,EG,fade,0.69,134,9,18,8,-9,70%,86,22%,1,3,-2,0.52,87,3,7,2,-4,75%,43,22%,0,0,0,0.81,166,6,11,6,-5,67%,114,21%,1,3,-2,Loss,7,13,20,3,5,8,4,8,12,3,5,8,4,8,12,0,0,0,0,0,0,0,0,0
Haven,mitch,C9,skye,1.13,231,15,13,15,2,70%,153,17%,2,1,1,1.6,284,9,4,11,5,82%,186,23%,0,0,0,0.7,184,6,9,4,-3,58%,122,10%,2,1,1,Win,13,10,23,9,2,11,4,8,12,9,2,11,4,8,12,0,0,0,0,0,0,0,0,0
Haven,v1c,C9,omen,1.11,231,18,15,11,3,65%,143,25%,2,3,-1,1.2,234,9,6,3,3,73%,149,32%,1,3,-2,1.02,230,9,9,8,0,58%,137,21%,1,0,1,Win,13,10,23,9,2,11,4,8,12,9,2,11,4,8,12,0,0,0,0,0,0,0,0,0
Haven,neT,C9,viper,1.06,208,17,15,8,2,65%,138,27%,2,3,-1,0.92,204,9,7,1,2,64%,132,23%,2,2,0,1.19,213,8,8,7,0,67%,144,31%,0,1,-1,Win,13,10,23,9,2,11,4,8,12,9,2,11,4,8,12,0,0,0,0,0,0,0,0,0
Haven,OXY,C9,jett,0.9,189,17,14,0,3,61%,109,18%,2,6,-4,1.06,221,10,7,0,3,64%,142,23%,1,2,-1,0.75,160,7,7,0,0,58%,79,8%,1,4,-3,Win,13,10,23,9,2,11,4,8,12,9,2,11,4,8,12,0,0,0,0,0,0,0,0,0
Haven,Xeppaa,C9,killjoy,0.74,153,13,17,4,-4,61%,95,10%,2,0,2,0.88,165,7,8,3,-1,73%,109,15%,0,0,0,0.62,143,6,9,1,-3,50%,82,6%,2,0,2,Win,13,10,23,9,2,11,4,8,12,9,2,11,4,8,12,0,0,0,0,0,0,0,0,0
Haven,Derrek,EG,sova,1.36,243,19,15,7,4,70%,183,27%,4,0,4,1.06,133,6,7,3,-1,67%,111,22%,2,0,2,1.69,363,13,8,4,5,73%,261,29%,2,0,2,Loss,10,13,23,8,4,12,2,9,11,8,4,12,2,9,11,0,0,0,0,0,0,0,0,0
Haven,yay,EG,jett,1.15,208,18,15,3,3,70%,131,25%,5,6,-1,1.42,249,12,7,2,5,75%,165,33%,1,4,-3,0.85,165,6,8,1,-2,64%,93,15%,4,2,2,Loss,10,13,23,8,4,12,2,9,11,8,4,12,2,9,11,0,0,0,0,0,0,0,0,0
Haven,icy,EG,cypher,0.89,150,12,16,5,-4,65%,96,34%,2,0,2,1.16,225,9,8,2,1,75%,145,40%,2,0,2,0.6,70,3,8,3,-5,55%,43,22%,0,0,0,Loss,10,13,23,8,4,12,2,9,11,8,4,12,2,9,11,0,0,0,0,0,0,0,0,0
Haven,supamen,EG,omen,0.87,178,15,17,10,-2,78%,107,32%,2,3,-1,0.94,152,7,7,6,0,75%,88,27%,1,2,-1,0.79,208,8,10,4,-2,82%,128,37%,1,1,0,Loss,10,13,23,8,4,12,2,9,11,8,4,12,2,9,11,0,0,0,0,0,0,0,0,0
Haven,NaturE,EG,breach,0.67,126,10,17,11,-7,61%,75,25%,0,1,-1,1.21,170,8,7,8,1,67%,97,27%,0,0,0,0.07,79,2,10,3,-8,55%,53,21%,0,1,-1,Loss,10,13,23,8,4,12,2,9,11,8,4,12,2,9,11,0,0,0,0,0,0,0,0,0
Lotus,artzin,MIBR,yoru,1.1,233,18,15,4,3,62%,149,20%,4,6,-2,0.68,180,6,7,0,-1,56%,120,21%,2,3,-1,1.41,274,12,8,4,4,67%,172,20%,2,3,-1,Loss,8,13,21,3,6,9,5,7,12,3,6,9,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,cortezia,MIBR,vyse,0.86,182,14,15,2,-1,62%,122,31%,2,2,0,0.9,199,6,7,1,-1,56%,140,25%,1,1,0,0.83,170,8,8,1,0,67%,109,38%,1,1,0,Loss,8,13,21,3,6,9,5,7,12,3,6,9,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,xenom,MIBR,omen,0.73,133,10,15,5,-5,76%,85,43%,2,0,2,0.77,147,4,8,5,-4,67%,96,40%,1,0,1,0.7,123,6,7,0,-1,83%,76,45%,1,0,1,Loss,8,13,21,3,6,9,5,7,12,3,6,9,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,Verno,MIBR,fade,0.64,131,9,16,7,-7,67%,81,24%,1,1,0,0.69,131,3,8,5,-5,67%,90,24%,0,0,0,0.59,132,6,8,2,-2,67%,75,25%,1,1,0,Loss,8,13,21,3,6,9,5,7,12,3,6,9,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,aspas,MIBR,raze,0.61,153,12,16,5,-4,81%,105,24%,2,1,1,0.33,91,4,7,0,-3,56%,63,38%,0,1,-1,0.82,201,8,9,5,-1,100%,136,19%,2,0,2,Loss,8,13,21,3,6,9,5,7,12,3,6,9,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,kiNgg,LEV,viper,1.92,326,25,10,4,15,81%,214,37%,2,3,-1,2.22,326,15,5,1,10,83%,226,45%,0,0,0,1.52,326,10,5,3,5,78%,197,26%,2,3,-1,Win,13,8,21,7,5,12,6,3,9,7,5,12,6,3,9,0,0,0,0,0,0,0,0,0
Lotus,Sato,LEV,raze,1.15,229,16,16,10,0,81%,175,19%,4,4,0,0.89,211,8,10,6,-2,67%,150,23%,3,4,-1,1.51,255,8,6,4,2,100%,209,16%,1,0,1,Win,13,8,21,7,5,12,6,3,9,7,5,12,6,3,9,0,0,0,0,0,0,0,0,0
Lotus,C0M,LEV,fade,1.03,113,8,9,10,-1,86%,79,45%,0,1,-1,1.09,124,6,6,5,0,92%,88,38%,0,1,-1,0.96,100,2,3,5,-1,78%,68,56%,0,0,0,Win,13,8,21,7,5,12,6,3,9,7,5,12,6,3,9,0,0,0,0,0,0,0,0,0
Lotus,Okeanos,LEV,omen,0.96,173,14,12,7,2,81%,108,33%,1,2,-1,0.48,118,5,9,2,-4,67%,81,45%,0,2,-2,1.6,247,9,3,5,6,100%,144,27%,1,0,1,Win,13,8,21,7,5,12,6,3,9,7,5,12,6,3,9,0,0,0,0,0,0,0,0,0
Lotus,tex,LEV,killjoy,0.69,172,13,16,4,-3,67%,108,23%,3,1,2,0.51,121,5,10,2,-5,50%,90,29%,2,0,2,0.93,242,8,6,2,2,89%,131,21%,1,1,0,Win,13,8,21,7,5,12,6,3,9,7,5,12,6,3,9,0,0,0,0,0,0,0,0,0
Sunset,artzin,MIBR,yoru,1.04,236,13,12,2,1,75%,143,37%,5,3,2,0.87,295,4,4,0,0,75%,146,44%,2,1,1,1.1,217,9,8,2,1,75%,142,33%,3,2,1,Loss,3,13,16,0,4,4,3,9,12,0,4,4,3,9,12,0,0,0,0,0,0,0,0,0
Sunset,xenom,MIBR,omen,0.78,164,10,13,4,-3,81%,101,29%,2,0,2,0.54,171,3,4,0,-1,75%,79,17%,0,0,0,0.86,162,7,9,4,-2,83%,109,33%,2,0,2,Loss,3,13,16,0,4,4,3,9,12,0,4,4,3,9,12,0,0,0,0,0,0,0,0,0
Sunset,cortezia,MIBR,cypher,0.56,187,10,16,3,-6,63%,114,37%,0,2,-2,0.52,166,3,4,0,-1,75%,75,50%,0,0,0,0.57,195,7,12,3,-5,58%,127,35%,0,2,-2,Loss,3,13,16,0,4,4,3,9,12,0,4,4,3,9,12,0,0,0,0,0,0,0,0,0
Sunset,aspas,MIBR,raze,0.56,133,7,13,2,-6,63%,98,19%,1,1,0,0.14,127,1,4,1,-3,50%,105,20%,0,1,-1,0.7,136,6,9,1,-3,67%,96,18%,1,0,1,Loss,3,13,16,0,4,4,3,9,12,0,4,4,3,9,12,0,0,0,0,0,0,0,0,0
Sunset,Verno,MIBR,sova,0.35,122,5,14,4,-9,50%,88,31%,1,1,0,0.2,80,1,4,1,-3,50%,58,50%,0,0,0,0.4,136,4,10,3,-6,50%,99,27%,1,1,0,Loss,3,13,16,0,4,4,3,9,12,0,4,4,3,9,12,0,0,0,0,0,0,0,0,0
Sunset,kiNgg,LEV,omen,1.77,295,19,6,3,13,75%,188,39%,2,1,1,1.39,232,11,5,3,6,75%,165,33%,1,1,0,2.9,486,8,1,0,7,75%,258,55%,1,0,1,Win,13,3,16,9,3,12,4,0,4,9,3,12,4,0,4,0,0,0,0,0,0,0,0,0
Sunset,C0M,LEV,sova,1.33,205,12,7,3,5,81%,136,20%,0,0,0,1.13,133,8,6,2,2,75%,125,24%,0,0,0,1.91,423,4,1,1,3,100%,168,11%,0,0,0,Win,13,3,16,9,3,12,4,0,4,9,3,12,4,0,4,0,0,0,0,0,0,0,0,0
Sunset,tex,LEV,vyse,1.26,244,14,11,3,3,81%,161,46%,3,2,1,1.43,247,11,7,2,4,75%,168,48%,3,1,2,0.75,238,3,4,1,-1,100%,140,43%,0,1,-1,Win,13,3,16,9,3,12,4,0,4,9,3,12,4,0,4,0,0,0,0,0,0,0,0,0
Sunset,Sato,LEV,neon,1.17,252,16,11,1,5,69%,158,35%,1,5,-4,1.27,234,13,8,1,5,58%,169,34%,1,4,-3,0.87,307,3,3,0,0,100%,127,38%,0,1,-1,Win,13,3,16,9,3,12,4,0,4,9,3,12,4,0,4,0,0,0,0,0,0,0,0,0
Sunset,Okeanos,LEV,kayo,0.83,135,7,10,13,-3,81%,82,26%,1,1,0,0.81,109,5,7,6,-2,75%,83,18%,0,1,-1,0.9,214,2,3,7,-1,100%,80,100%,1,0,1,Win,13,3,16,9,3,12,4,0,4,9,3,12,4,0,4,0,0,0,0,0,0,0,0,0
Corrode,silentzz,2G,vyse,1.61,255,26,13,8,13,88%,165,47%,2,0,2,1.92,292,15,7,4,8,85%,186,58%,1,0,1,1.3,220,11,6,4,5,92%,143,37%,1,0,1,Loss,12,14,26,5,8,13,7,6,13,5,7,12,7,5,12,0,1,1,0,1,1,0,2,2
Corrode,pryze,2G,fade,1.13,246,20,21,17,-1,85%,170,20%,3,1,2,1,193,8,10,7,-2,85%,145,26%,1,1,0,1.26,300,12,11,10,1,85%,195,16%,2,0,2,Loss,12,14,26,5,8,13,7,6,13,5,7,12,7,5,12,0,1,1,0,1,1,0,2,2
Corrode,gobera,2G,viper,0.79,163,15,17,5,-2,69%,107,23%,2,1,1,0.4,128,5,11,4,-6,62%,85,14%,0,0,0,1.18,199,10,6,1,4,77%,128,31%,2,1,1,Loss,12,14,26,5,8,13,7,6,13,5,7,12,7,5,12,0,1,1,0,1,1,0,2,2
Corrode,spike,2G,neon,0.77,258,22,25,7,-3,77%,151,17%,9,3,6,0.65,234,10,13,2,-3,77%,135,21%,6,1,5,0.89,283,12,12,5,0,77%,168,14%,3,2,1,Loss,12,14,26,5,8,13,7,6,13,5,7,12,7,5,12,0,1,1,0,1,1,0,2,2
Corrode,lz,2G,omen,0.59,114,11,18,8,-7,65%,71,34%,2,3,-1,0.18,49,2,10,4,-8,54%,23,11%,0,3,-3,1.01,181,9,8,4,1,77%,120,45%,2,0,2,Loss,12,14,26,5,8,13,7,6,13,5,7,12,7,5,12,0,1,1,0,1,1,0,2,2
Corrode,adverso,FUR,fade,1.17,257,21,21,13,0,92%,169,20%,2,5,-3,1.1,259,11,12,6,-1,85%,170,26%,1,2,-1,1.23,255,10,9,7,1,100%,168,16%,1,3,-2,Win,14,12,26,6,7,13,8,5,13,5,7,12,7,5,12,1,0,1,1,0,1,2,0,2
Corrode,tuyz,FUR,omen,1.11,177,17,15,9,2,85%,118,37%,1,2,-1,0.86,140,7,9,4,-2,77%,77,86%,0,1,-1,1.37,215,10,6,5,4,92%,158,26%,1,1,0,Win,14,12,26,6,7,13,8,5,13,5,7,12,7,5,12,1,0,1,1,0,1,2,0,2
Corrode,heat,FUR,viper,1.08,191,18,17,7,1,73%,126,40%,2,2,0,0.56,106,5,10,3,-5,54%,86,40%,0,2,-2,1.61,276,13,7,4,6,92%,166,39%,2,0,2,Win,14,12,26,6,7,13,8,5,13,5,7,12,7,5,12,1,0,1,1,0,1,2,0,2
Corrode,Palla,FUR,neon,1.04,269,24,23,6,1,77%,158,26%,3,4,-1,0.83,249,10,13,3,-3,77%,142,22%,2,3,-1,1.25,290,14,10,3,4,77%,175,31%,1,1,0,Win,14,12,26,6,7,13,8,5,13,5,7,12,7,5,12,1,0,1,1,0,1,2,0,2
Corrode,Urango,FUR,sage,0.92,157,14,18,13,-4,73%,89,24%,0,5,-5,1.26,235,10,10,8,0,85%,127,25%,0,2,-2,0.58,81,4,8,5,-4,62%,51,22%,0,3,-3,Win,14,12,26,6,7,13,8,5,13,5,7,12,7,5,12,1,0,1,1,0,1,2,0,2
Sunset,silentzz,2G,cypher,1.83,261,19,5,0,14,88%,176,58%,4,1,3,2.73,342,7,0,0,7,100%,250,58%,1,0,1,1.52,234,12,5,0,7,83%,152,57%,3,1,2,Win,13,3,16,4,0,4,9,3,12,4,0,4,9,3,12,0,0,0,0,0,0,0,0,0
Sunset,gobera,2G,breach,1.48,279,17,8,6,9,88%,184,38%,2,0,2,1.59,293,4,2,2,2,100%,192,31%,2,0,2,1.45,275,13,6,4,7,83%,181,42%,0,0,0,Win,13,3,16,4,0,4,9,3,12,4,0,4,9,3,12,0,0,0,0,0,0,0,0,0
Sunset,pryze,2G,sova,1.41,227,14,7,4,7,81%,153,38%,3,1,2,2.27,277,5,0,2,5,100%,194,31%,0,0,0,1.13,210,9,7,2,2,75%,140,42%,3,1,2,Win,13,3,16,4,0,4,9,3,12,4,0,4,9,3,12,0,0,0,0,0,0,0,0,0
Sunset,spike,2G,neon,1.27,278,14,11,7,3,88%,184,17%,3,1,2,1.11,199,2,2,3,0,75%,137,7%,1,0,1,1.33,305,12,9,4,3,92%,200,21%,2,1,1,Win,13,3,16,4,0,4,9,3,12,4,0,4,9,3,12,0,0,0,0,0,0,0,0,0
Sunset,lz,2G,omen,0.96,164,10,10,8,0,81%,118,55%,0,1,-1,1.14,138,2,2,4,0,100%,50,40%,0,0,0,0.9,173,8,8,4,0,75%,140,59%,0,1,-1,Win,13,3,16,4,0,4,9,3,12,4,0,4,9,3,12,0,0,0,0,0,0,0,0,0
Sunset,heat,FUR,cypher,0.87,218,11,15,2,-4,56%,143,40%,0,2,-2,1.05,261,10,11,2,-1,67%,172,46%,0,1,-1,0.34,90,1,4,0,-3,25%,54,17%,0,1,-1,Loss,3,13,16,3,9,12,0,4,4,3,9,12,0,4,4,0,0,0,0,0,0,0,0,0
Sunset,adverso,FUR,sova,0.79,188,10,15,5,-5,63%,126,10%,2,0,2,0.9,201,8,11,4,-3,67%,137,6%,2,0,2,0.44,152,2,4,1,-2,50%,96,33%,0,0,0,Loss,3,13,16,3,9,12,0,4,4,3,9,12,0,4,4,0,0,0,0,0,0,0,0,0
Sunset,Urango,FUR,breach,0.61,145,8,15,4,-7,56%,99,39%,0,2,-2,0.88,184,8,11,4,-3,75%,122,47%,0,0,0,0.01,29,0,4,0,-4,0%,29,0%,0,2,-2,Loss,3,13,16,3,9,12,0,4,4,3,9,12,0,4,4,0,0,0,0,0,0,0,0,0
Sunset,tuyz,FUR,omen,0.55,141,6,14,8,-8,63%,94,25%,1,3,-2,0.52,140,4,10,7,-6,58%,94,22%,1,3,-2,0.65,149,2,4,1,-2,75%,94,33%,0,0,0,Loss,3,13,16,3,9,12,0,4,4,3,9,12,0,4,4,0,0,0,0,0,0,0,0,0
Sunset,Palla,FUR,neon,0.16,118,6,15,2,-9,44%,77,14%,1,5,-4,0.25,133,5,11,2,-6,50%,86,18%,1,4,-3,0.02,76,1,4,0,-3,25%,48,0%,0,1,-1,Loss,3,13,16,3,9,12,0,4,4,3,9,12,0,4,4,0,0,0,0,0,0,0,0,0
Ascent,gobera,2G,killjoy,2.08,356,21,8,2,13,93%,236,31%,0,1,-1,2.11,381,18,7,1,11,92%,253,31%,0,0,0,0.65,212,2,3,1,-1,100%,132,30%,0,0,0,Win,13,2,15,10,2,12,3,0,3,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0
Ascent,pryze,2G,sova,1.4,252,14,9,4,5,87%,160,25%,1,0,1,1.41,227,10,6,3,4,83%,153,35%,1,0,1,1.96,258,3,1,1,2,100%,171,33%,0,1,-1,Win,13,2,15,10,2,12,3,0,3,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0
Ascent,spike,2G,kayo,1.21,247,13,10,8,3,73%,163,32%,2,3,-1,1.22,252,10,8,7,2,75%,169,30%,2,2,0,1.19,233,3,2,1,1,67%,140,38%,0,1,-1,Win,13,2,15,10,2,12,3,0,3,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0
Ascent,silentzz,2G,jett,0.63,154,8,11,1,-3,67%,118,26%,2,3,-1,0.38,138,5,10,1,-5,67%,112,30%,2,2,0,1.63,220,3,1,0,2,67%,140,0%,0,1,-1,Win,13,2,15,10,2,12,3,0,3,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0
Ascent,lz,2G,omen,0.63,146,8,12,7,-4,80%,101,38%,0,3,-3,0.62,130,6,9,6,-3,75%,94,44%,0,3,-3,1.36,358,4,3,1,1,100%,188,7%,0,0,0,Win,13,2,15,10,2,12,3,0,3,10,2,12,3,0,3,0,0,0,0,0,0,0,0,0
Ascent,Urango,FUR,deadlock,1.09,225,13,12,4,1,67%,142,41%,1,1,0,1.13,251,3,3,1,0,100%,123,75%,0,0,0,1.08,219,10,9,3,1,58%,146,35%,1,1,0,Loss,2,13,15,0,3,3,2,10,12,0,3,3,2,10,12,0,0,0,0,0,0,0,0,0
Ascent,Palla,FUR,yoru,0.9,240,11,13,5,-2,80%,154,23%,5,2,3,2.14,561,6,3,1,3,100%,272,29%,3,0,3,0.59,161,5,10,4,-5,75%,124,19%,2,2,0,Loss,2,13,15,0,3,3,2,10,12,0,3,3,2,10,12,0,0,0,0,0,0,0,0,0
Ascent,heat,FUR,cypher,0.83,188,9,13,5,-4,67%,136,19%,0,1,-1,0.01,29,0,3,1,-3,33%,29,25%,0,0,0,1.09,228,9,10,4,-1,75%,163,18%,0,1,-1,Loss,2,13,15,0,3,3,2,10,12,0,3,3,2,10,12,0,0,0,0,0,0,0,0,0
Ascent,tuyz,FUR,omen,0.73,167,8,12,7,-4,73%,103,32%,3,1,2,0.12,78,0,3,4,-3,100%,45,0%,0,0,0,0.88,190,8,9,3,-1,67%,118,40%,3,1,2,Loss,2,13,15,0,3,3,2,10,12,0,3,3,2,10,12,0,0,0,0,0,0,0,0,0
Ascent,adverso,FUR,sova,0.63,172,9,14,3,-5,67%,126,11%,1,0,1,0.15,129,1,3,2,-2,67%,79,0%,0,0,0,0.75,183,8,11,1,-3,67%,137,15%,1,0,1,Loss,2,13,15,0,3,3,2,10,12,0,3,3,2,10,12,0,0,0,0,0,0,0,0,0
Lotus,C0M,LEV,fade,0.9,145,10,12,3,-2,55%,94,20%,1,1,0,0.7,97,4,8,3,-4,50%,61,7%,1,1,0,1.19,219,6,4,0,2,63%,142,27%,0,0,0,Loss,7,13,20,5,7,12,2,6,8,5,7,12,2,6,8,0,0,0,0,0,0,0,0,0
Lotus,Okeanos,LEV,omen,0.81,181,13,17,4,-4,75%,118,33%,4,3,1,0.95,194,9,9,2,0,75%,112,30%,2,2,0,0.6,164,4,8,2,-4,75%,127,38%,2,1,1,Loss,7,13,20,5,7,12,2,6,8,5,7,12,2,6,8,0,0,0,0,0,0,0,0,0
Lotus,kiNgg,LEV,viper,0.79,159,10,15,3,-5,65%,111,18%,1,1,0,0.5,134,5,10,2,-5,50%,89,15%,0,1,-1,1.24,199,5,5,1,0,88%,145,20%,1,0,1,Loss,7,13,20,5,7,12,2,6,8,5,7,12,2,6,8,0,0,0,0,0,0,0,0,0
Lotus,Sato,LEV,raze,0.76,202,14,17,2,-3,75%,126,26%,5,3,2,1.12,238,10,9,2,1,83%,151,20%,3,1,2,0.23,150,4,8,0,-4,63%,89,40%,2,2,0,Loss,7,13,20,5,7,12,2,6,8,5,7,12,2,6,8,0,0,0,0,0,0,0,0,0
Lotus,tex,LEV,killjoy,0.68,147,11,17,2,-6,60%,122,50%,1,0,1,0.78,158,7,10,1,-3,50%,123,50%,1,0,1,0.53,132,4,7,1,-3,75%,120,50%,0,0,0,Loss,7,13,20,5,7,12,2,6,8,5,7,12,2,6,8,0,0,0,0,0,0,0,0,0
Lotus,brawk,NRG,vyse,1.55,211,15,7,7,8,90%,156,30%,1,0,1,2.13,282,8,1,2,7,100%,208,25%,0,0,0,1.16,166,7,6,5,1,83%,121,37%,1,0,1,Win,13,7,20,6,2,8,7,5,12,6,2,8,7,5,12,0,0,0,0,0,0,0,0,0
Lotus,s0m,NRG,omen,1.22,212,15,11,9,4,85%,123,22%,2,3,-1,1.23,189,6,4,4,2,100%,112,33%,0,2,-2,1.21,228,9,7,5,2,75%,130,18%,2,1,1,Win,13,7,20,6,2,8,7,5,12,6,2,8,7,5,12,0,0,0,0,0,0,0,0,0
Lotus,Ethan,NRG,fade,1.18,240,16,12,8,4,80%,143,20%,0,1,-1,0.56,160,4,7,4,-3,75%,103,12%,0,1,-1,1.59,293,12,5,4,7,83%,170,26%,0,0,0,Win,13,7,20,6,2,8,7,5,12,6,2,8,7,5,12,0,0,0,0,0,0,0,0,0
Lotus,mada,NRG,raze,0.9,236,18,15,1,3,70%,146,41%,5,6,-1,1.4,303,9,5,1,4,88%,191,38%,3,1,2,0.57,192,9,10,0,-1,58%,116,43%,2,5,-3,Win,13,7,20,6,2,8,7,5,12,6,2,8,7,5,12,0,0,0,0,0,0,0,0,0
Lotus,skuba,NRG,viper,0.81,179,14,13,3,1,75%,128,26%,0,2,-2,0.6,161,5,6,0,-1,50%,90,27%,0,1,-1,0.95,192,9,7,3,2,92%,153,26%,0,1,-1,Win,13,7,20,6,2,8,7,5,12,6,2,8,7,5,12,0,0,0,0,0,0,0,0,0
